"Country Name","Region"
"Mauritania","Sub-Saharan Africa"
"Mauritius","Sub-Saharan Africa"
"Mexico","Latin America & Caribbean"
"Micronesia, Fed. Sts.","East Asia & Pacific"
"Middle East & North Africa",NA
"Middle East & North Africa (all income levels)",NA
"Middle income",NA
"Moldova","Europe & Central Asia"
"Monaco","Europe & Central Asia"
"Mongolia","East Asia & Pacific"
"Montenegro","Europe & Central Asia"
"Morocco","Middle East & North Africa"
"Mozambique","Sub-Saharan Africa"
"Myanmar","East Asia & Pacific"
"Namibia","Sub-Saharan Africa"
"Nepal","South Asia"
"Netherlands","Europe & Central Asia"
"New Caledonia","East Asia & Pacific"
"New Zealand","East Asia & Pacific"
"Nicaragua","Latin America & Caribbean"
"Niger","Sub-Saharan Africa"
"Nigeria","Sub-Saharan Africa"
"North America",NA
"Northern Mariana Islands","East Asia & Pacific"
"Norway","Europe & Central Asia"
"OECD members",NA
"Oman","Middle East & North Africa"
"Other small states",NA
"Pacific island small states",NA
"Pakistan","South Asia"
"Palau","East Asia & Pacific"
"Panama","Latin America & Caribbean"
"Papua New Guinea","East Asia & Pacific"
"Paraguay","Latin America & Caribbean"
"Peru","Latin America & Caribbean"
"Philippines","East Asia & Pacific"
"Poland","Europe & Central Asia"
"Portugal","Europe & Central Asia"
"Puerto Rico","Latin America & Caribbean"
"Qatar","Middle East & North Africa"
"Romania","Europe & Central Asia"
"Russian Federation","Europe & Central Asia"
"Rwanda","Sub-Saharan Africa"
"Samoa","East Asia & Pacific"
"San Marino","Europe & Central Asia"
"São Tomé and Principe","Sub-Saharan Africa"
"Saudi Arabia","Middle East & North Africa"
"Senegal","Sub-Saharan Africa"
"Serbia","Europe & Central Asia"
"Seychelles","Sub-Saharan Africa"
"Sierra Leone","Sub-Saharan Africa"
"Singapore","East Asia & Pacific"
"Sint Maarten (Dutch part)","Latin America & Caribbean"
"Slovak Republic","Europe & Central Asia"
"Slovenia","Europe & Central Asia"
"Small states",NA
"Solomon Islands","East Asia & Pacific"
"Somalia","Sub-Saharan Africa"
"South Africa","Sub-Saharan Africa"
"South Asia",NA
"South Sudan","Sub-Saharan Africa"
"Spain","Europe & Central Asia"
"Sri Lanka","South Asia"
"St. Kitts and Nevis","Latin America & Caribbean"
"St. Lucia","Latin America & Caribbean"
"St. Martin (French part)","Latin America & Caribbean"
"St. Vincent and the Grenadines","Latin America & Caribbean"
"Sub-Saharan Africa",NA
"Sub-Saharan Africa (all income levels)",NA
"Sudan","Sub-Saharan Africa"
"Suriname","Latin America & Caribbean"
"Swaziland","Sub-Saharan Africa"
"Sweden","Europe & Central Asia"
"Switzerland","Europe & Central Asia"
"Syrian Arab Republic","Middle East & North Africa"
"Taiwan, China","East Asia & Pacific"
"Tajikistan","Europe & Central Asia"
"Tanzania","Sub-Saharan Africa"
"Thailand","East Asia & Pacific"
"Timor-Leste","East Asia & Pacific"
"Togo","Sub-Saharan Africa"
"Tonga","East Asia & Pacific"
"Trinidad and Tobago","Latin America & Caribbean"
"Tunisia","Middle East & North Africa"
"Turkey","Europe & Central Asia"
"Turkmenistan","Europe & Central Asia"
"Turks and Caicos Islands","Latin America & Caribbean"
"Tuvalu","East Asia & Pacific"
"Uganda","Sub-Saharan Africa"
"Ukraine","Europe & Central Asia"
"United Arab Emirates","Middle East & North Africa"
"United Kingdom","Europe & Central Asia"
"United States","North America"
"Upper middle income",NA
"Uruguay","Latin America & Caribbean"
"Uzbekistan","Europe & Central Asia"
"Vanuatu","East Asia & Pacific"
"Venezuela, RB","Latin America & Caribbean"
"Vietnam","East Asia & Pacific"
"Virgin Islands (U.S.)","Latin America & Caribbean"
"West Bank and Gaza","Middle East & North Africa"
"World",NA
"Yemen, Rep.","Middle East & North Africa"
"Zambia","Sub-Saharan Africa"
"Zimbabwe","Sub-Saharan Africa"
